"Arrival Block Detail","Departure Block Detail","Touchdown Time","Take Off Time","Arrival Time Actual","Departure Time Actual","Departure Time Scheduled","Arrival Time Scheduled","Delay main reason","Total Delay","First Departure Time","Departure Block Hour","Arrival Time Block","Day Of Week","Flight Date","Airline ID","Airline Code","Aircraft Tail ID","Flight Number","Origin Airport ID","Origin City ID","Origin Airport Code","Origin City Name","Origin State Abr","Origin State Name","Destination Airport ID","Destination City ID","Destination Airport Code","Destination City Name","Destination State Abr","Destination State Name","Departure Delay","Taxi Out","Taxi In","Arrival Delay","Fly Time Scheduled","Fly Time Actual","Distance Miles","Distance Group","Carrier Delay","Weather Delay","Airport Delay","Security Delay","Late Aircraft Delay","Distance Group Name"
"08:00 - 08:59","07:00 - 07:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","7","8","1","2023-02-06 00:00:00","19393","WN","N8608N","2704","1125904","30194","DAL","Dallas, TX","TX","Texas","1226603","31453","IAH","Houston, TX","TX","Texas","9","15","6","3","70","64","216","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","07:00 - 07:59","2023-02-07 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","7","8","1","2023-02-06 00:00:00","19393","WN","N960WN","1550","1080003","32575","BUR","Burbank, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","-1","30","5","4","70","75","223","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","08:00 - 08:59","2023-02-07 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","8","8","1","2023-02-06 00:00:00","19393","WN","N1809U","1067","1383002","33830","OGG","Kahului, HI","HI","Hawaii","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","-6","8","12","4","40","50","100","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","07:00 - 07:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","7","8","1","2023-02-13 00:00:00","19393","WN","N7720F","2513","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1389101","32575","ONT","Ontario, CA","CA","California","5","10","4","-8","60","47","197","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","07:00 - 07:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","7","8","1","2023-02-13 00:00:00","19393","WN","N8810L","1041","1199603","31871","GSP","Greer, SC","SC","South Carolina","1039707","30397","ATL","Atlanta, GA","GA","Georgia","4","13","6","-11","65","50","153","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","07:00 - 07:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","7","8","1","2023-02-13 00:00:00","19393","WN","N445WN","1435","1295407","32575","LGB","Long Beach, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","2","8","4","-9","70","59","231","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","07:00 - 07:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","7","8","1","2023-02-13 00:00:00","19393","WN","N8678E","3","1125904","30194","DAL","Dallas, TX","TX","Texas","1219103","31453","HOU","Houston, TX","TX","Texas","1","16","5","-6","70","63","239","1","0","0","0","0","0","Less Than 250 Miles"
"08:00 - 08:59","07:00 - 07:59","2023-02-14 00:00:00","2023-02-14 00:00:00","2023-02-13 00:00:00","2023-02-14 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","7","8","1","2023-02-13 00:00:00","19393","WN","N932WN","1550","1080003","32575","BUR","Burbank, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","-3","28","4","7","70","80","223","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","8","9","1","2023-02-06 00:00:00","19393","WN","N240WN","814","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1289208","32575","LAX","Los Angeles, CA","CA","California","1","15","5","-5","70","64","236","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Airport System","19","2023-02-06 00:00:00","8","9","1","2023-02-06 00:00:00","19393","WN","N8744B","1513","1240203","32402","ITO","Hilo, HI","HI","Hawaii","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","0","9","14","19","55","74","216","1","0","0","19","0","0","Less Than 250 Miles"
